"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image1","Input.image2","Input.image3","Input.image4","Input.image5","Input.image6","Input.image7","Input.image8","Input.image9","Input.image10","Input.image11","Input.image12","Answer.selected","Approve","Reject"
"3X52SWXE0X5MQX9QWNV8SR5V5SHWCO","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","392CY0QWG1R3GI9Z4TQCWMGN7I5I44","AIWX8CTWASWI7","Approved","Wed Feb 20 11:04:13 PST 2019","Wed Feb 20 11:04:42 PST 2019","Sat Feb 23 11:04:42 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","29","100% (94/94)","100% (94/94)","100% (26/26)","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1054/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7992/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1319/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7500/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7868/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7180/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7899/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5060/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/12.jpg","image5|image1|image2|image11|image4|image3|image6|image9|image7"
"3X52SWXE0X5MQX9QWNV8SR5V5SHWCO","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3FUI0JHJPXY38J8CJCE6IBMSA0C334","A13AA4ZKU2F2D0","Approved","Wed Feb 20 11:04:12 PST 2019","Wed Feb 20 11:11:56 PST 2019","Sat Feb 23 11:11:56 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","464","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1054/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7992/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1319/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7500/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7868/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7180/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7899/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5060/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/12.jpg","image1|image2|image11|image5|image7|image3|image9|image4"
"3X52SWXE0X5MQX9QWNV8SR5V5SHWCO","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3SKRO2GZ71RDUE24HESMB4OXN2K1KL","A3PABOW1OQ9MX1","Approved","Wed Feb 20 11:03:13 PST 2019","Wed Feb 20 11:11:46 PST 2019","Sat Feb 23 11:11:46 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","513","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1054/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7992/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1319/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7500/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7868/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7180/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7899/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5060/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/12.jpg","image7|image3|image5|image9|image4|image11|image2"
"3BAKUKE49HCXVYI6HWWIOWEN9HC1R3","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3ERET4BTVM9VJJ5ZLR7FQA6GLE7K9C","A3PABOW1OQ9MX1","Approved","Wed Feb 20 11:03:04 PST 2019","Wed Feb 20 11:07:04 PST 2019","Sat Feb 23 11:07:04 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","240","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7900/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/7467/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5058/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/12.jpg","image6|image5|image4|image8|image3|image11|image2|image9|image7"
"3BAKUKE49HCXVYI6HWWIOWEN9HC1R3","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3HYA4D452RJ93DSMZ7130A6X7CH2F1","A13AA4ZKU2F2D0","Approved","Wed Feb 20 11:03:37 PST 2019","Wed Feb 20 11:05:57 PST 2019","Sat Feb 23 11:05:57 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","140","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7900/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/7467/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5058/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/12.jpg","image4|image8|image9|image7|image2|image3|image6|image11"
"3BAKUKE49HCXVYI6HWWIOWEN9HC1R3","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3VAR3R6G1P1EV574ERTUXVSELD08OW","A235PZYBZR1XIU","Approved","Wed Feb 20 11:05:00 PST 2019","Wed Feb 20 11:05:26 PST 2019","Sat Feb 23 11:05:26 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","26","100% (2/2)","100% (2/2)","100% (2/2)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/punjabi/7900/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/7467/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5058/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/2924/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/gujarati/7267/12.jpg","image2|image9|image10|image7|image3|image4|image6"
"3XJOUITW8URYSHFF60RSPCND5D0TQ0","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","33CKWXB73JKBODGI94M46PSYEWK11I","AUMY3AA0I92SR","Approved","Wed Feb 20 11:02:38 PST 2019","Wed Feb 20 11:07:50 PST 2019","Sat Feb 23 11:07:50 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","312","100% (39/39)","100% (39/39)","100% (39/39)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/malayalam/2320/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6286/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1053/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6287/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8086/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/12.jpg","image1|image9|image4|image11|image8|image3|image7|image6|image12"
"3XJOUITW8URYSHFF60RSPCND5D0TQ0","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3DZQRBDBSLF7S0TR9RF7QJU42GAS3K","A3PABOW1OQ9MX1","Approved","Wed Feb 20 11:03:12 PST 2019","Wed Feb 20 11:11:26 PST 2019","Sat Feb 23 11:11:26 PST 2019","Wed Feb 20 11:50:06 PST 2019","","","494","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/malayalam/2320/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6286/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1053/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6287/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8086/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/12.jpg","image9|image1|image7|image4|image3|image12|image6|image11|image8"
"3XJOUITW8URYSHFF60RSPCND5D0TQ0","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3M0NZ3JDP1Y77R29I2X819PR3R1Z5M","AIWX8CTWASWI7","Approved","Wed Feb 20 11:03:17 PST 2019","Wed Feb 20 11:03:41 PST 2019","Sat Feb 23 11:03:41 PST 2019","Wed Feb 20 11:50:07 PST 2019","","","24","100% (94/94)","100% (94/94)","100% (26/26)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/malayalam/2320/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/hindi/7246/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6286/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/1711/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-european-language/spanish/1053/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6287/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8084/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8086/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6251/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7179/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5153/12.jpg","image4|image6|image2|image3|image1|image11|image8|image12|image9|image7"
"3FI30CQHVKJ5MD2ER5M9JD00Z6P6BT","3VU3J1KUFBZQ5KTJXWRWFDC1JT7TG8","Select images that show a wedding","Click on the images that depict a wedding.  We are interested in both Indian weddings and Western-style weddings.","image, classification, wedding","$0.01","Wed Feb 20 11:00:37 PST 2019","3","BatchId:3539142;OriginalHitTemplateId:928390875;","3600","259200","Wed Feb 27 11:00:37 PST 2019","","","3CTOC39K37QWUGBOO99JBZFXBZJJ70","A3PABOW1OQ9MX1","Approved","Wed Feb 20 11:02:08 PST 2019","Wed Feb 20 11:04:52 PST 2019","Sat Feb 23 11:04:52 PST 2019","Wed Feb 20 11:50:07 PST 2019","","","164","100% (37/37)","100% (37/37)","100% (37/37)","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7992/01.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8086/02.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6253/03.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/8086/04.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/marathi/7868/05.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/malayalam/8573/06.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5154/07.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/bengali/6286/08.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5060/09.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/5060/10.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/telugu/5098/11.jpg","https://s3.amazonaws.com/nets213-hw5/weddings-indian-languages/tamil/7468/12.jpg","image1|image6|image10|image9|image8|image5|image7|image4|image2"
